,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
3966,il38474,Male,No,Yes,No,15,Month-to-month,Store,Yes,Yes,Fiber optic,2.05,No,Yes,Yes,No,Yes,Yes,101.1,1504.05,Electronic check,Yes,No,3,Yes,4,5,10,16,2,1378,"I recently canceled my service with this company after being a customer for 15 months. While the fiber optic internet service was reliable and fast, I found the monthly charges of $101.1 to be quite high. Additionally, I prefer to pay with electronic check, which was not an issue with this company. Overall, I decided to switch providers in search of a more affordable option.",No,Yes
991,aF54387,Female,No,No,No,58,One year,Store,Yes,No,Fiber optic,26.96,Yes,Yes,Yes,No,Yes,Yes,106.45,6145.85,Electronic check,Yes,3,5,Yes,3,4,Yes,107,2,770,"I have been a customer with this company for 58 months, and I recently decided to churn. The monthly charges of $106.45 were reasonable for the fiber optic internet service I received. I appreciated being able to pay with electronic check, as it was convenient and hassle-free. Overall, I had a positive experience with this company but ultimately chose to switch providers for personal reasons.",No,Yes
1125,NA13366,Female,No,Yes,No,11,Month-to-month,Online,Yes,Yes,Fiber optic,25.42,No,Yes,No,No,Yes,Yes,94.0,1078.9,Electronic check,Yes,Yes,4,2,3,5,4.5,30,3,519,"I recently decided to cancel my service with this company after being a customer for 11 months. While the fiber optic internet service was fast and reliable, I found the monthly charges of $94.0 to be a bit steep. Additionally, the electronic check payment method was convenient, but I ultimately decided to switch to a different provider that offered a better deal on internet service. Overall, I had a positive experience with this company, but the cost was ultimately the deciding factor in my decision to cancel.",Yes,Yes
11,G92764,Male,No,No,No,16,Two year,Online,Yes,No,No,45.84,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.95,326.8,Credit card (automatic),No,3,3,4,4,4,Yes,78,Yes,1918,"I have been a customer with this company for 16 months now and I am happy to say that I have not experienced any issues with their service. The monthly charges of $18.95 are affordable and the automatic credit card payment method makes it convenient for me to pay my bills on time. Even though I do not have internet service with them, I have been satisfied with the overall customer experience. I am looking forward to continuing my contract with them for the remaining duration.",Yes,No
5343,Jz96298,Female,No,Yes,Yes,20,Month-to-month,Online,Yes,No,No,40.19,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.35,442.6,Mailed check,No,No,No,4,4,5,1.5,70,Yes,726,"I have been a customer with this company for 20 months now on a month-to-month contract. I have never experienced any issues with their service and have never had to deal with churn. My monthly charges are very affordable at $20.35 and I appreciate the convenience of being able to pay by mailing a check. While I do not have internet service with them, I am satisfied with the overall experience and would recommend this company to others.",No,No
4567,AQ61391,Male,No,No,No,12,One year,Online,Yes,No,Fiber optic,62.27,No,Yes,Yes,No,Yes,Yes,95.7,1184,Electronic check,No,Yes,No,5,5,5,2.1,51,2,1010,"I have been a customer with this company for 12 months now and I am extremely satisfied with their service. The fiber optic internet service has been reliable and fast, allowing me to stream videos and work from home without any issues. The monthly charges of $95.7 are reasonable for the quality of service provided. The electronic check payment method is convenient and hassle-free. Overall, I have had a positive experience with this company and have no intentions of churning anytime soon. Highly recommend their services.",No,No
1221,Y56330,Female,Yes,Yes,Yes,65,One year,Online,Yes,Yes,Fiber optic,64.08,No,Yes,Yes,No,Yes,Yes,107.45,7047.5,Electronic check,Yes,No,2,3,4,5,7.3,73,2,1072,"I have been a customer with this company for over five years now and have always been satisfied with the service provided. The fiber optic internet service is fast and reliable, and I appreciate the convenience of being able to pay my monthly bill with an electronic check. The monthly charges are reasonable for the quality of service I receive. Overall, I have no complaints and would highly recommend this company to others.",Yes,No
3692,se65588,Male,No,Yes,Yes,13,Month-to-month,Store,Yes,No,Fiber optic,58.95,No,Yes,Yes,No,Yes,Yes,96.65,1162.85,Mailed check,Yes,Yes,No,3,4,Yes,Yes,55,3,1638,"I recently decided to cancel my service with this company after being a customer for 13 months. While the fiber optic internet service was fast and reliable, I found the monthly charges of $96.65 to be quite high compared to other providers in the area. Additionally, having to mail in a check for payment each month was inconvenient and outdated. I ultimately decided to switch to a more affordable and convenient provider.",Yes,Yes
931,S72932,Male,No,Yes,No,15,Month-to-month,Agent,Yes,Yes,Fiber optic,48.69,No,Yes,Yes,Yes,Yes,Yes,103.45,1539.8,Electronic check,Yes,No,No,5,4,Yes,6.2,30,Yes,708,"I have been a customer with this company for 15 months now and I am very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges are reasonable at $103.45, and I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience and have no plans to churn in the near future.",No,No
5544,p47176,Male,No,No,No,9,Month-to-month,Online,Yes,No,No,60.23,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.4,181.8,Mailed check,No,No,3,3,5,4,7,90,3,1320,"I have been a customer with this company for 9 months now and I am very satisfied with the service. Even though I do not have internet service, I appreciate the affordable monthly charge of $20.4 for my other services. The option to pay by mailed check is convenient for me and I have had no issues with my payments. Overall, I am happy with my experience and do not have any plans to leave.",No,No
424,ai97731,Female,No,No,No,10,Month-to-month,Agent,No,No phone service,DSL,44.14,Yes,Yes,Yes,No,No,No,40.7,449.3,Bank transfer (automatic),No,No,Yes,4,3,4,4.1,92,3,946,"I have been a customer with this internet service provider for 10 months now, and I have been very satisfied with the service. The monthly charges are reasonable at $40.7 and the automatic bank transfer payment method is convenient for me. The DSL internet service has been reliable and I have not experienced any issues with connectivity. Overall, I have no complaints and would recommend this provider to others.",Yes,No
1952,TE38184,Female,No,No,Yes,4,Month-to-month,Store,Yes,Yes,No,36.73,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,25.45,84.2,Mailed check,Yes,No,No,5,5,5,10,10,2,357,"I've been a customer with this company for 4 months now on a month-to-month contract. I don't have internet service with them, but I do appreciate the affordable monthly charge of $25.45. I prefer to pay by mailing in a check, and I've had no issues with my payments so far. Overall, I am satisfied with my experience and have no plans to churn in the near future.",No,No
6050,C70497,Male,No,No,No,4,Month-to-month,Online,Yes,No,No,67.2,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.75,78.3,Mailed check,No,No,3,Yes,5,5,6.8,38,2,907,"I have been a customer with this company for 4 months now and I am pleased to say that I have had no issues with churning. I am on a month-to-month contract with a monthly charge of $19.75, which I find to be very reasonable. I do not have internet service with this company, but that is not a problem for me. I prefer to pay my bills by mailing in a check, and the process has been smooth and hassle-free. Overall, I am satisfied with my experience as a customer so far.",No,No
2937,u81977,Female,No,No,No,28,Month-to-month,Agent,No,No phone service,DSL,29.61,No,Yes,Yes,Yes,No,No,35.75,961.4,Mailed check,Yes,Yes,3,5,5,4,9,82,Yes,1033,"I have been a customer with this company for 28 months now and I have been satisfied with the DSL internet service they provide. The monthly charges of $35.75 are reasonable and I appreciate the flexibility of the month-to-month contract. I prefer to pay by mailed check and have not had any issues with payment processing. Overall, I have had a positive experience as a customer and have not experienced any reason to consider churning.",Yes,No
4018,Tz13705,Female,Yes,Yes,No,69,Two year,Store,Yes,Yes,Fiber optic,58.26,No,Yes,No,Yes,Yes,Yes,105.4,6998.95,Credit card (automatic),No,Yes,3,3,5,5,9.2,36,2,270,"I have been a loyal customer of this company for almost six years now, and I have been extremely satisfied with their fiber optic internet service. The connection is always fast and reliable, and I have never experienced any downtime. The automatic payment method with my credit card has made it convenient for me to pay my monthly bill on time without any hassle. Even though the monthly charges are a bit on the higher side at $105.4, I believe the quality of service I receive is well worth the cost. Overall, I have no complaints and would highly recommend this company to others.",No,No
2989,V96645,Female,No,Yes,Yes,20,One year,Referral,Yes,Yes,DSL,28.72,Yes,Yes,No,No,Yes,Yes,76.0,1588.75,Bank transfer (automatic),No,No,No,4,3,5,5.7,60,No,451,"I have been a customer of this DSL internet service provider for the past 20 months and have been very satisfied with the service. The monthly charges of $76.0 are reasonable for the speed and reliability of the internet connection. I appreciate the convenience of the automatic bank transfer payment method, as it ensures that my bill is always paid on time. Overall, I have no complaints and have no plans to churn to another provider. Keep up the good work!",No,No
